url,comment,year,photographer,number,road,suburb,lat,lon
http://purl.slwa.wa.gov.au/slwa_b3799954_2,"312139PD: Mill Street sewerage pumping station and public toilets (Perth No. 1 station), August 1983",1982,"Smith, Betty, photographer.",,MILL STREET,PERTH,-31.954638,115.853060
http://purl.slwa.wa.gov.au/slwa_b3799955_1,"311123PD: The Parmelia Hilton Hotel and Hamersley House from Mounts Bay Rd, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_2,"311124PD: City Mutual and the Parmelia Hilton Hotel from Mounts Bay Rd, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_3,"311125PD: Intersection of Mounts Bay Rd and Mill St, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_4,"311127PD: City skyline from Mounts Bay Road, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_5,"311128PD: Perth Technical College, Mounts Bay Rd, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_6,"311129PD: Perth Technical College and adjacent buildings, Mounts Bay Rd, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_7,"311218PD: Kennedy Memorial Fountain, Mounts Bay Rd, Perth, March 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_8,"312128PD: Mounts Bay Road, Perth at the intersection with Mill Street, August 1983",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_9,"312129PD: Sebel furniture warehouse and store in Mounts Bay Rd, corner of Mill St, Perth, August 1983",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_10,"312130PD: Back of Bishop's House, Mounts Bay Rd, Perth, August 1983",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_11,"312131PD: Astoria Apartments, 130 Mounts Bay Road, Perth, August 1983",1981,"Smith, Betty, photographer.",130,MOUNTS BAY ROAD,PERTH,-31.956068,115.846499
http://purl.slwa.wa.gov.au/slwa_b3799955_12,"312132PD: Adelphi Centre apartments (left) and Astoria Apartments, 130-130A Mounts Bay Road, Perth, August 1983",1981,"Smith, Betty, photographer.",130A,MOUNTS BAY ROAD,PERTH,-31.956068,115.846499
http://purl.slwa.wa.gov.au/slwa_b3799955_13,"312133PD: Chellingworth Motors Mercedes-Benz showrooms, 138 Mounts Bay Rd, Perth, August 1983",1981,"Smith, Betty, photographer.",138,MOUNTS BAY ROAD,PERTH,-31.957070,115.845853
http://purl.slwa.wa.gov.au/slwa_b3799955_14,"312134PD: Bernies hamburger place, 140 Mounts Bay Road, Perth, August 1983",1981,"Smith, Betty, photographer.",140,MOUNTS BAY ROAD,PERTH,-31.957452,115.845920
http://purl.slwa.wa.gov.au/slwa_b3799955_15,"312135PD: Riverside Lodge, 150 Mounts Bay Rd, Perth, August 1983. Converted to the Mount Hospital 1985-86",1981,"Smith, Betty, photographer.",150,MOUNTS BAY ROAD,PERTH,-31.958357,115.845329
http://purl.slwa.wa.gov.au/slwa_b3799955_16,"312136PD: Mounts Bay Lodge Hotel (right) and Kings Towers apartments, Mounts Bay Rd, Perth, August 1983",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_17,"312137PD: Riverside Lodge, 150 Mounts Bay Rd, Perth, August 1983",1981,"Smith, Betty, photographer.",150,MOUNTS BAY ROAD,PERTH,-31.958357,115.845329
